50.872501 14.235833 170
50.872501 14.236111 170
50.872501 14.236389 170
50.872501 14.236667 207
50.872501 14.236944 207
50.872501 14.237223 207
50.872501 14.237500 216
50.872501 14.237778 216
50.872501 14.238055 216
50.872501 14.238334 226
50.872501 14.238611 226
50.872501 14.238889 226
50.872501 14.239166 221
50.872501 14.239445 221
50.872501 14.239722 221
50.872501 14.240000 215
50.872501 14.240278 215
50.872501 14.240556 215
50.872501 14.240833 216
50.872501 14.241111 216
50.872501 14.241389 216
50.872501 14.241667 217
50.872501 14.241944 217
50.872501 14.242222 217
50.872501 14.242500 222
50.872501 14.242778 222
50.872501 14.243055 222
50.872501 14.243333 228
50.872501 14.243611 228
50.872501 14.243889 228
50.872501 14.244166 221
50.872501 14.244445 221
50.872501 14.244722 221
50.872501 14.245000 213
50.872501 14.245277 213
50.872501 14.245556 213
50.872501 14.245833 215
50.872501 14.246111 215
50.872501 14.246388 215
50.872501 14.246667 218
50.872501 14.246944 218
50.872501 14.247222 218
50.872501 14.247500 231
50.872501 14.247778 231
50.872501 14.248055 231
50.872501 14.248333 245
50.872501 14.248611 245
50.872501 14.248889 245
50.872501 14.249166 240
50.872501 14.249444 240
50.872501 14.249722 240
50.872501 14.250000 234
50.872501 14.250278 234
50.872501 14.250556 234
50.872501 14.250834 227

50.873333 14.235833 143
50.873333 14.236111 143
50.873333 14.236389 143
50.873333 14.236667 163
50.873333 14.236944 163
50.873333 14.237223 163
50.873333 14.237500 168
50.873333 14.237778 168
50.873333 14.238055 168
50.873333 14.238334 174
50.873333 14.238611 174
50.873333 14.238889 174
50.873333 14.239166 170
50.873333 14.239445 170
50.873333 14.239722 170
50.873333 14.240000 166
50.873333 14.240278 166
50.873333 14.240556 166
50.873333 14.240833 168
50.873333 14.241111 168
50.873333 14.241389 168
50.873333 14.241667 170
50.873333 14.241944 170
50.873333 14.242222 170
50.873333 14.242500 177
50.873333 14.242778 177
50.873333 14.243055 177
50.873333 14.243333 185
50.873333 14.243611 185
50.873333 14.243889 185
